	Green	Pink	Brown	S1	S2
denovo8762	0	0	0	1	0
denovo8763	0	0	0	0	1
denovo8760	0	0	0	0	1
denovo8761	0	1	0	0	0
denovo8766	0	0	1	0	1
denovo8767	0	0	0	0	1
denovo8764	0	1	0	0	0
denovo8765	0	1	0	0	0
denovo8768	0	1	0	0	0
denovo8769	2	0	0	0	0
denovo2500	1	0	0	0	0
denovo2501	0	0	0	1	0
denovo2502	0	0	1	0	0
denovo2503	1	0	0	0	0
denovo2504	0	0	2	0	0
denovo2505	0	1	1	0	0
denovo2506	1	0	0	0	0
denovo2507	0	3	0	0	0
denovo2508	0	0	1	0	0
denovo2509	0	0	0	1	0
denovo6610	0	0	0	1	0
denovo6611	0	0	0	0	1
denovo6612	1	0	0	0	0
denovo6613	0	0	1	0	0
denovo6614	0	0	1	0	0
denovo6615	0	0	0	1	0
denovo6616	0	0	0	1	0
denovo6617	0	0	0	0	3
denovo6618	0	0	0	0	1
denovo6619	1	0	0	0	0
denovo11020	1	0	0	0	0
denovo11021	1	0	0	0	0
denovo11022	0	1	0	0	0
denovo11023	0	1	0	0	0
denovo11024	0	0	1	0	0
denovo11025	0	1	1	0	0
denovo11026	0	1	0	0	0
denovo11027	0	1	0	0	0
denovo11028	0	1	0	0	0
denovo11029	0	1	2	3	0
denovo25445	0	0	0	1	0
denovo25444	0	0	0	2	0
denovo25447	0	1	0	0	0
denovo25446	0	0	0	1	0
denovo25441	0	1	0	0	0
denovo25440	0	0	1	0	0
denovo25443	1	0	0	0	0
denovo25442	0	0	1	0	0
denovo25449	0	1	0	0	0
denovo25448	0	0	1	0	0
denovo3671	1	0	0	0	0
denovo3670	0	0	1	0	0
denovo3673	0	0	1	0	0
denovo3672	0	0	0	0	2
denovo3675	0	0	0	1	0
denovo3674	0	0	0	1	0
denovo3677	0	0	1	0	0
denovo3676	0	0	0	0	1
denovo3679	0	1	0	0	0
denovo3678	0	0	0	0	1
denovo7561	1	0	0	0	0
denovo7560	0	0	0	1	0
denovo7563	0	0	1	0	1
denovo7562	1	0	0	0	0
denovo7565	0	0	1	0	0
denovo7564	0	1	0	0	0
denovo7567	0	0	0	0	1
denovo7566	0	0	1	1	0
denovo7569	0	0	1	0	0
denovo7568	0	0	0	1	0
denovo25995	0	0	1	0	0
denovo25994	0	0	0	1	0
denovo25993	1	0	0	0	0
denovo25992	0	1	1	0	0
denovo25991	1	0	0	0	0
denovo25990	0	0	1	0	0
denovo7346	0	0	0	1	0
denovo10049	0	0	1	0	0
denovo10048	0	0	0	1	0
denovo10041	0	1	0	0	0
denovo10040	0	0	1	0	0
denovo10043	0	0	0	1	0
denovo10042	0	1	0	0	0
denovo10045	0	0	0	1	0
denovo10044	0	0	0	0	1
denovo10047	0	1	0	0	0
denovo10046	2	0	0	0	0
denovo13538	0	0	1	0	0
denovo13539	0	0	2	0	0
denovo13530	0	0	0	1	0
denovo13531	0	0	0	1	0
denovo13532	0	1	0	0	0
denovo13533	0	0	0	1	0
denovo13534	0	0	1	0	0
denovo13535	0	1	0	0	0
denovo13536	0	0	1	0	0
denovo13537	0	0	0	0	1
denovo17097	1	0	0	0	0
denovo17096	10	0	0	0	0
denovo17095	0	1	0	0	0
denovo17094	0	2	0	0	0
denovo17093	0	0	1	0	0
denovo17092	0	0	0	1	0
denovo17091	0	0	1	0	0
denovo17090	0	0	0	0	1
denovo17099	0	0	0	1	0
denovo17098	1	0	0	0	0
denovo5149	1	0	0	0	0
denovo5148	0	0	0	1	0
denovo5141	1	0	0	0	0
denovo5140	0	0	1	0	0
denovo5143	0	1	0	0	0
denovo5142	0	0	0	1	0
denovo5145	0	1	9	40	60
denovo17324	0	0	0	1	0
denovo5147	1	0	0	0	0
denovo5146	1	0	0	0	0
denovo16058	0	0	0	1	0
denovo16059	0	1	0	0	0
denovo16050	0	1	0	0	0
denovo16051	0	0	1	0	0
denovo16052	0	1	0	0	0
denovo16053	0	0	0	1	1
denovo16054	0	0	0	1	0
denovo16055	0	0	1	0	0
denovo16056	0	0	0	1	0
denovo16057	0	0	0	2	0
denovo2269	0	0	0	1	0
denovo2268	0	0	0	1	0
denovo2261	0	1	0	0	0
denovo2260	0	0	0	0	1
denovo2263	1	0	0	0	0
denovo2262	0	0	0	1	0
denovo2265	0	0	2	0	0
denovo2264	0	1	0	0	0
denovo2267	0	1	0	0	0
denovo2266	1	0	0	0	0
denovo15201	0	0	0	0	1
denovo21737	0	0	1	0	0
